smiles,rev_smiles
C[C@@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@H](CCC4[C@@H]3C(O)C[C@]3(C)[C@@H](c5ccc(=O)oc5)CC[C@]43O)C2)[C@H](O)[C@H](O)[C@H]1O,O1]H@C[)O(]H@C[)O(]H@C[)2C)O34]@C[CC)5co)O=(ccc5c(]H@@C[)C(3]@C[C)O(C3]H@@C[4CCC(]H@C[)C(3]@@C[CC2]H@C[O(]H@@C[O1]H@@C[C
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N\NC(=O)C(C)N,N)C(C)O=(CN\N=C/2c1ccccc1cn1-c2cC)O=2c(n1cc1c2cCO)O=(C)O(1]@@C[CC
COc1ccc(S(=O)(=O)N(Cc2ccc3c(n2)C=CC(C)(C)O3)C2CCC2)cc1OC,CO1cc)2CCC2C)3O)C()C(CC=C)2n(c3ccc2cC(N)O=()O=(S(ccc1cOC
O=C(NOCCO)c1cc(CN2OCCCC2=O)c(F)c(F)c1Nc1ccc(I)cc1F,F1cc)I(ccc1cN1c)F(c)F(c)O=2CCCCO2NC(cc1c)OCCON(C=O
COc1ccc(-c2csc3c2-n2cccc2C3=O)cc1O,O1cc)O=3C2cccc2n-2c3csc2c-(ccc1cOC
CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12,21cn)OCC3]H@C[CCCC3N(cc)3c)]-O[(]+n[ccc3cCN(c2nnc1cCC
N#CCCNc1nonc1-c1nc2ccccc2n1CC(=O)c1ccc(NC(=O)[C@@H](N)CCCCN)cc1,1cc)NCCCC)N(]H@@C[)O=(CN(ccc1c)O=(CC1n2ccccc2cn1c-1cnon1cNCCC#N
CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21,12cncn)N(c2c)2c3cn)N(co3ccc2c-(cn1n)C(CC
NNc1c(C(N)=O)c2c(N)ncnc2n1C1OC(CO)C(O)C1O,O1C)O(C)OC(CO1C1n2cncn)N(c2c)O=)N(C(c1cNN
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2,2CC)O=)C(CN(]H@@C[1cc)O=(c)CS(ccc1c-)CO1c)CO(c(c2cc1cOC
NC(=S)N/N=C\c1nccc2c(C(F)(F)C(F)(F)C(F)(F)F)cccc12,21cccc)F)F()F(C)F()F(C)F()F(C(c2cccn1c\C=N/N)S=(CN
CCc1c(CNc2ccc(C(=O)NC(CC(=O)O)C(=O)O)cc2)ccc2nc(N)nc(N)c12,21c)N(cn)N(cn2ccc)2cc)O)O=(C)O)O=(CC(CN)O=(C(ccc2cNC(c1cCC
CC[C@H](C)[C@H]1NC(=O)[C@@H](N[C@](C)(O)[C@@H](N)CC(C)C)[C@@H](C)OC(=O)[C@H](Cc2ccc(OC)cc2)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)C(=O)[C@H](C(C)C)OC(=O)C[C@@H]1O,O1]H@@C[C)O=(CO)C)C(C(]H@C[)O=(C)C(]H@@C[)O=(CN)C)C(CC(]H@C[)O=(C2NCCC2]H@@C[)O=(C)C(N)2cc)CO(ccc2cC(]H@C[)O=(CO)C(]H@@C[)C)C(CC)N(]H@@C[)O()C(]@C[N(]H@@C[)O=(CN1]H@C[)C(]H@C[CC
CC(C)C[C@H](NC(=O)[C@H](Cc1cccc2ccccc12)NC(=O)N1CCOCC1)B(O)O,O)O(B)1CCOCC1N)O=(CN)21ccccc2cccc1cC(]H@C[)O=(CN(]H@C[C)C(CC
CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,O1cc)O(c)2c)C3ncc(c3ccc2c-2n)O=(c]Hn[n2c-(cc1c)C(CC
NC(=S)c1c(N)n(C2OC(CO)C(O)C2O)c2ncnc(N)c12,21c)N(cncn2c)O2C)O(C)OC(CO2C(n)N(c1c)S=(CN
CC1=C(C)C(=O)O[C@@H]([C@](C)(O)[C@]2(O)CC[C@@]3(O)[C@@H]4C[C@H]5O[C@]56CC=CC(=O)[C@]6(C)[C@H]4CC[C@]23C)C1,1C)C32]@C[CC4]H@C[)C(6]@C[)O=(CC=CC65]@C[O5]H@C[C4]H@@C[)O(3]@@C[CC)O(2]@C[)O()C(]@C[(]H@@C[O)O=(C)C(C=1CC
C[n+]1c(/C=C\C=C\N2CCCCC2)sc2ccccc21,12ccccc2cs)2CCCCC2N\C=C\C=C/(c1]+n[C
CNCCOC(=O)/C=C1/CCC2C(C(O)CC3C(C)(C(=O)OC)CCCC23C)C1C,C1C)C32CCCC)CO)O=(C()C(C3CC)O(C(C2CCC/1C=C/)O=(COCCNC
CNCCOC(=O)/C=C1\CC[C@H]2[C@@H]([C@@H](O)C(=O)[C@@H]3[C@]2(C)CC[C@H](O)[C@]3(C)C(=O)OC)[C@H]1C,C1]H@C[)CO)O=(C)C(3]@C[)O(]H@C[CC)C(2]@C[3]H@@C[)O=(C)O(]H@@C[(]H@@C[2]H@C[CC\1C=C/)O=(COCCNC
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,O1ccc)lC(cc1c)lC1cc)]-O[)O=(]+N[(ccc1cN(C=O
COc1cc(/C=C2\CN(C)C/C(=C\c3cc(OC)c(OC)c(OC)c3)C2=O)cc(OC)c1OC,CO1c)CO(cc)O=2C)3c)CO(c)CO(c)CO(cc3c\C=(C/C)C(NC\2C=C/(cc1cOC
CC(C)C[C@H](NC(=O)[C@H](Cc1cccc2ccccc12)NS(=O)(=O)c1cccc2cccnc12)B(O)O,O)O(B)21cnccc2cccc1c)O=()O=(SN)21ccccc2cccc1cC(]H@C[)O=(CN(]H@C[C)C(CC
Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21,12cc)OCCON)O=(C(c)F3cc)rB(ccc3cN(c)F(c2cnc1nC
Cc1c(CN2CCN(C(=O)[C@H](C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,21cn)3cn)N(cnc3c-(cn)3CCOCC3N(c2cs)2CC)O)C(]H@C[)O=(C(NCC2NC(c1cC
COc1ncc(-c2ccc3nccc(-c4ccnnc4)c3c2)cc1NS(=O)(=O)c1ccc(F)cc1F,F1cc)F(ccc1c)O=()O=(SN1cc)2c3c)4cnncc4c-(cccn3ccc2c-(ccn1cOC
CC1=C[C@H]2O[C@@H]3C[C@H]4OC(=O)/C=C\C=C\C(C(C)O)OCC[C@@H](C)[C@H](O)C(=O)OC[C@@]2(CC1)[C@]4(C)[C@]31CO1,1OC13]@C[)C(4]@C[)1CC(2]@@C[CO)O=(C)O(]H@C[)C(]H@@C[CCO)O)C(C(C\C=C\C=C/)O=(CO4]H@C[C3]H@@C[O2]H@C[C=1CC
CC1=C[C@H]2O[C@H]3C[C@H]4OC(=O)/C=C\C=C\C(=O)OCC[C@@H](C)[C@H](O)C(=O)OC[C@@]2(CC1)[C@@]4(C)[C@]31CO1,1OC13]@C[)C(4]@@C[)1CC(2]@@C[CO)O=(C)O(]H@C[)C(]H@@C[CCO)O=(C\C=C\C=C/)O=(CO4]H@C[C3]H@C[O2]H@C[C=1CC
CN(C)Cc1c(C(=O)NCCOc2ccc(C(=O)NO)cc2)oc2ccccc12,21ccccc2co)2cc)ON)O=(C(ccc2cOCCN)O=(C(c1cC)C(NC
CC(C)C[C@H](NC(=O)[C@@H](NC(=O)c1cccc(-c2ccccc2)n1)[C@@H](C)O)B(O)O,O)O(B)O)C(]H@@C[)1n)2ccccc2c-(cccc1c)O=(CN(]H@@C[)O=(CN(]H@C[C)C(CC
CCCCCCCCCCCC[N+]1(CCCCCCCCCCCC)CCCC(C)C1,1C)C(CCCC)CCCCCCCCCCCC(1]+N[CCCCCCCCCCCC
COc1ccc(-c2nsc3c2NC(=O)CC3c2ccsc2)cc1,1cc)2cscc2c3CC)O=(CN2c3csn2c-(ccc1cOC
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,O)O(B)1nccnc1c)O=(CN)1ccccc1cC(]H@C[)O=(CN(]H@C[C)C(CC
CN[C@@H](Cc1cccc2ccccc12)C(=O)N[C@@H](CC(C)C)B(O)O,O)O(B)C)C(CC(]H@@C[N)O=(C)21ccccc2cccc1cC(]H@@C[NC
O=C(N[C@@H](Cc1ccccc1)B(O)O)[C@H](Cc1cccc2ccccc12)NC(=O)N1CCOCC1,1CCOCC1N)O=(CN)21ccccc2cccc1cC(]H@C[)O)O(B)1ccccc1cC(]H@@C[N(C=O
CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,12cncn)N(c2c)2]Hn[3ccc)O(cc3cc2c-(cn1n)C(CC
CC(C)C[C@H](NC(=O)[C@@H](N)Cc1cccc2ccccc12)B(O)O,O)O(B)21ccccc2cccc1cC)N(]H@@C[)O=(CN(]H@C[C)C(CC
CCOC(=O)c1ccc(Nc2sc(C(=O)c3cccc([N+](=O)[O-])c3)c(N)c2C#N)cc1,1cc)N#C2c)N(c)3c)]-O[)O=(]+N[(cccc3c)O=(C(cs2cN(ccc1c)O=(COCC
C[As](C)SCC1OC(O)C(O)C(O)C1O,O1C)O(C)O(C)O(CO1CCS)C(]sA[C
c1ccc2c(NCCCCCCCCNc3c4ccccc4nc4ccccc34)c3ccccc3nc2c1,1c2cn3ccccc3c)43ccccc4cn4ccccc4c3cNCCCCCCCCN(c2ccc1c
COc1ccc2c(c1)OC1=C(C(=O)OC1)C2c1cc(OC)c2c(c1)OCCO2,2OCCO)1c(c2c)CO(cc1c2C)1CO)O=(C(C=1CO)1c(c2ccc1cOC
COc1ccc(-c2cnnn2-c2nonc2-n2cccc2)cc1,1cc)2cccc2n-2cnon2c-2nnnc2c-(ccc1cOC
CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](OC2CC(NC(=O)C(F)(F)F)C(O)C(C)O2)C1)C(=O)c1c(OC)cccc1C3=O,O=3C1cccc)CO(c1c)O=(C)1C)2O)C(C)O(C)F)F()F(C)O=(CN(CC2CO(]H@@C[2c)O(c(c3c)O(c2cC)O(1]@C[)O=(CCO)O=(CCCCC
COc1ccccc1CNCCCN1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(CCCNCCCN)C3=O,O=3C)NCCCNCCC(N)O=(C)O=1C)42c(ccc(c4c3ccc2c)O=(C1NCCCNC1ccccc1cOC
Cc1cnc(/C=N\NC(N)=S)c2cccc(N)c12,21c)N(cccc2c)S=)N(CN\N=C/(cnc1cC
CSc1ccc(/C=C2\C=C(CC(=O)NCc3ccc(C(=O)c4ccccc4)cc3)c3cc(F)ccc32)cc1,1cc)23ccc)F(cc3c)3cc)4ccccc4c)O=(C(ccc3cCN)O=(CC(C=C\2C=C/(ccc1cSC
O=C1c2cc([N+](=O)[O-])sc2C(=O)c2ccsc21,12cscc2c)O=(C2cs)]-O[)O=(]+N[(cc2c1C=O
CC1NC(=O)C(NC(=O)c2cnc3ccccc3n2)COC(=O)C(C(C)C)N(C)C(=O)C2CSSCC(C(=O)N(C)C(C(C)C)C(=O)OCC(NC(=O)c3cnc4ccccc4n3)C(=O)NC(C)C(=O)N2C)N(C)C1=O,O=1C)C(N)C2N)O=(C)C(CN)O=(C)3n4ccccc4cnc3c)O=(CN(CCO)O=(C)C)C(C(C)C(N)O=(C(CCSSC2C)O=(C)C(N)C)C(C(C)O=(COC)2n3ccccc3cnc2c)O=(CN(C)O=(CN1CC
COc1ccc(-c2c(N)noc2-c2cc(OC)c3c(c2)OCCO3)cc1,1cc)3OCCO)2c(c3c)CO(cc2c-2con)N(c2c-(ccc1cOC
O=C1/C=C/[C@@H](O)[C@@H]2C[C@@H](O)C[C@H]2/C=C/CCC[C@H](CCc2cccc3ccccc23)O1,1O)32ccccc3cccc2cCC(]H@C[CCC/C=C/2]H@C[C)O(]H@@C[C2]H@@C[)O(]H@@C[/C=C/1C=O
CCCS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3ccccc23)c(OC)c1,1c)CO(c)32ccccc3cn3ccccc3c2cN(ccc1cN)O=()O=(SCCC
CCS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3ccccc23)c(OC)c1,1c)CO(c)32ccccc3cn3ccccc3c2cN(ccc1cN)O=()O=(SCC
CCC1(O)CC(OC2CC(N(C)C)C(OC3CC4OC5CC(=O)C(C)OC5OC4C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)ccc(O)c2C3=O)C1C(=O)OC,CO)O=(C1C)O=3C2c)O(ccc)O(c2c)O=(C)O2c(c3cc(c2c)2O)C(C)3O)C(C4CO5CO)C(C)O=(CC5CO4CC3CO(C)C)C(N(CC2CO(CC)O(1CCC
CC[C@@]1(O)C[C@H](OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)ccc(O)c2C3=O)[C@H]1C(=O)OC,CO)O=(C1]H@C[)O=3C2c)O(ccc)O(c2c)O=(C)O2c(c3cc(c2c)2O)C(C)3O)C(C)4O)C(C)O=(CCC4CO(C)O(CC3CO(C)C)C(N(CC2CO(]H@C[C)O(1]@@C[CC
Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,1cc)ON)O=(C/C=C/(ccc1cCNCC1c2ccccc2c]Hn[1cC
O=C1/C=C/[C@@H](O)[C@@H]2C[C@@H](O)C[C@H]2/C=C/CCC[C@H](CCc2ccc3ncccc3c2)O1,1O)2c3ccccn3ccc2cCC(]H@C[CCC/C=C/2]H@C[C)O(]H@@C[C2]H@@C[)O(]H@@C[/C=C/1C=O
COc1ccc(/C=C(\C#N)c2cc(OC)c(OC)c(OC)c2)cc1,1cc)2c)CO(c)CO(c)CO(cc2c)N#C\(C=C/(ccc1cOC
COc1cccc(C2C(C#N)=C(N)Oc3cc4c(cc32)OCO4)c1,1c)4OCO)23cc(c4cc3cO)N(C=)N#C(C2C(cccc1cOC
COc1cc(C2C(C#N)=C(N)Oc3cc4c(cc32)OCO4)cc2c1OCO2,2OCO1c2cc)4OCO)23cc(c4cc3cO)N(C=)N#C(C2C(cc1cOC
c1cncc(CNc2ccccc2-c2nnc(Nc3ccc4c(c3)OCCO4)o2)c1,1c)2o)4OCCO)3c(c4ccc3cN(cnn2c-2ccccc2cNC(ccnc1c
c1ccc(-c2nnc(Nc3ccc4c(c3)OCCO4)o2)c(NCc2ccncc2)c1,1c)2ccncc2cCN(c)2o)4OCCO)3c(c4ccc3cN(cnn2c-(ccc1c
COc1cc(OC)cc(C2C3=C(COC3=O)Nc3cc(OC)ccc32)c1,1c)23ccc)CO(cc3cN)O=3COC(C=3C2C(cc)CO(cc1cOC
O=C1OCC2=C1C(c1ccccc1)c1cc3c(cc1N2)OCO3,3OCO)2N1cc(c3cc1c)1ccccc1c(C1C=2CCO1C=O
COc1cc(C2C3=C(COC3=O)Nc3c2ccc2c3CCCC2)cc2c1OCO2,2OCO1c2cc)2CCCC3c2ccc2c3cN)O=3COC(C=3C2C(cc1cOC
COc1ccc2c(c1)nc(N)c1c3cc(OC)c(OC)cc3cn21,12nc3cc)CO(c)CO(cc3c1c)N(cn)1c(c2ccc1cOC
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,21ccccc2cn2ccccc2c1cN1ccc)O=)O=()C(SN(cc1cOC
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2Cl,lC2c1ccccc1cn1-c2cC)O=2c(n1cc1c2cCO)O=(C)O(1]@@C[CC
CCOC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(SC)c(=O)cc21,12cc)O=(c)CS(ccc2c-2c)CO(c)CO(c)CO(cc2cCC1]H@C[N)O=(COCC
Cc1cc2nc3ccc(=[N+](C)C)cc-3sc2cc1N,N1cc2cs3-cc)C)C(]+N[=(ccc3cn2cc1cC
COc1c(OCCCN2CCOCC2)ccc2c3n(c(=NC(=O)c4cnc(N)nc4)nc12)CCN3,3NCC)21cn)4cn)N(cnc4c)O=(CN=(c(n3c2ccc)2CCOCC2NCCCO(c1cOC
COc1ccc(-c2cc3c(C)nc(N)nc3n(C3CCC(OCCO)CC3)c2=O)cn1,1nc)O=2c)3CC)OCCO(CCC3C(n3cn)N(cn)C(c3cc2c-(ccc1cOC
CN[C@H]1CN(c2ccc3c(=O)c(C(=O)O)cn(-c4nccs4)c3n2)C[C@@H]1OC,CO1]H@@C[C)2n3c)4sccn4c-(nc)O)O=(C(c)O=(c3ccc2c(NC1]H@C[NC
CCCCC1CCCCCCc2[nH]c(/C=C3\N=C(c4ccc[nH]4)C=C3OC)cc21,12cc)CO3C=C)4]Hn[ccc4c(C=N\3C=C/(c]Hn[2cCCCCCC1CCCCC
CN(C)CCCNc1c2ccccc2nc2cccc([N+](=O)[O-])c12,21c)]-O[)O=(]+N[(cccc2cn2ccccc2c1cNCCC)C(NC
c1cncc(CNc2ccccc2-c2nnc(Nc3ccc4c(c3)OCO4)o2)c1,1c)2o)4OCO)3c(c4ccc3cN(cnn2c-2ccccc2cNC(ccnc1c
CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O,O1c)C)C()C(C(cc)N#C)N#C(C=C(cc1c)C()C(CC
c1ccc2c(NCCCCCCNc3c4ccccc4nc4ccccc34)c3ccccc3nc2c1,1c2cn3ccccc3c)43ccccc4cn4ccccc4c3cNCCCCCCN(c2ccc1c
Cn1c(=O)c(F)c(Nc2ccc(I)cc2F)c2c(=O)n(C[C@@H](O)CO)cnc21,12cnc)OC)O(]H@@C[C(n)O=(c2c)F2cc)I(ccc2cN(c)F(c)O=(c1nC
COc1cc(C2c3cc4c(cc3C3OC(=O)C2C3CO)OCO4)cc(OC)c1OC,CO1c)CO(cc)4OCO)OC3C2C)O=(CO3C3cc(c4cc3c2C(cc1cOC
